keys,ko,en
title.subtitle,"던전의 위협을 베고 · 밀치고 · 직접 피하라","Cut through dungeon threats. Push them back. Or dodge them yourself."
title.controls,"이동 방향키 · Q 베기 · W 회피 · E 무효화 · R 궁극기\n회피와 무효화는 같은 방어 2칸을 공유합니다","Arrow keys Move · Q Attack · W Dodge · E Nullify · R Ultimate\nDodge and Nullify share two defense charges"
title.start,게임 시작,Start Game
title.start_tooltip,일반 전투를 시작합니다,Start a standard run
title.mode,전투 모드,Game Mode
title.challenge,도전 모드,Challenge Mode
title.challenge_tooltip,"랜덤 디버프 하나를 안고 90초 생존","Survive 90 seconds with one random debuff"
title.training,훈련장,Training Grounds
title.training_tooltip,"무기와 강화 트리를 고르고 원하는 적을 소환합니다","Choose a weapon and upgrade path, then summon the enemies you want"
title.guide,전투 가이드,Dodge Guide
title.guide_tooltip,"DON'T DODGE 조작과 대응 가이드","DON'T DODGE controls and response guide"
title.language,언어,Language
language.ko,한국어,Korean
language.en,English,English
audio.bgm_on,BGM: 켜짐,BGM: On
audio.bgm_off,BGM: 꺼짐,BGM: Off
audio.sfx_on,효과음: 켜짐,SFX: On
audio.sfx_off,효과음: 꺼짐,SFX: Off
training.setup_title,훈련장 설정,Training Setup
training.setup_subtitle,"시간 제한 없이 원하는 빌드와 적을 직접 시험합니다.","Test any build against any enemy with no time limit."
training.weapon,무기,Weapon
training.weapon_tooltip,훈련에 사용할 무기,Weapon used for training
training.start_level,시작 레벨,Starting Level
training.technique,레벨 2 기술,Level 2 Technique
training.ultimate,레벨 3 궁극기,Level 3 Ultimate
training.level_0,LV 0 · 기본 상태,LV 0 · Base state
training.level_1,LV 1 · 무기 적용,LV 1 · Weapon equipped
training.level_2,LV 2 · 기술까지 적용,LV 2 · Technique equipped
training.level_3,LV 3 · 궁극기까지 적용,LV 3 · Ultimate equipped
training.level_0_detail,무기와 강화 효과 없이 시작,Start without a weapon or upgrades
training.level_1_detail,선택한 무기를 적용하고 시작,Start with the selected weapon
training.level_2_detail,무기와 레벨 2 기술을 적용,Apply the weapon and a level 2 technique
training.level_3_detail,전체 빌드를 적용하고 시작,Start with the full build applied
training.level_badge,LV %d,LV %d
training.weapon_fallback,무기,Weapon
training.technique_fallback,기술,Technique
training.ultimate_fallback,궁극기,Ultimate
training.weapon_card_role,무기 스타일,Weapon style
training.technique_card_role,레벨 2 기술,Level 2 Technique
training.ultimate_card_role,레벨 3 궁극기,Level 3 Ultimate
training.locked_at_level,잠김 · LV%d 필요,Locked · Requires LV%d
training.hint,"훈련 중에는 자동 웨이브와 90초 종료가 없습니다. 전투 화면에서 적을 소환하고 리셋할 수 있습니다.","Training has no automatic waves or 90-second finish. Summon enemies and reset the fight from the combat screen."
training.back,로비로 돌아가기,Back to Lobby
training.enter,훈련장 입장,Enter Training
training.summary_title,현재 빌드,Current Build
training.summary,"%s\n%s\n%s\n%s","%s\n%s\n%s\n%s"
training.summary_level,시작 %s,Start %s
